,2,3,4,5,6,9,10,11,12,13,14,15,16,echo_mean,echo_std,echo_max,echo_cont_mean,echo_cont_median,echo_cont_std,echo_cont_max,shadow_mean,shadow_median,shadow_std,shadow_min,shadow_max,target
50,0,122,0,151,4,41,45,30,3,0,7,0,42,30.5,61.0,122,28.25,35.5,19.60229578391266,42,40.5,5.5,73.72245248226622,0,151,1
51,0,109,0,137,4,48,49,19,14,0,14,0,7,27.25,54.5,109,18.5,13.0,21.173883284209662,48,38.75,9.0,65.76409861517655,0,137,1
52,0,113,0,129,4,38,46,10,20,0,9,21,4,28.25,56.5,113,18.25,15.5,14.930394055974098,38,35.5,6.5,62.44197306299666,0,129,1
53,0,120,0,121,0,16,59,11,1,0,0,6,0,30.0,60.0,120,8.25,8.5,6.849574196011505,16,30.25,0.0,60.5,0,121,1
54,0,131,0,111,0,6,48,17,5,0,0,8,1,32.75,65.5,131,8.0,7.0,6.683312551921141,17,27.75,0.0,55.5,0,111,1
55,0,119,0,100,0,0,55,45,12,3,0,2,8,29.75,59.5,119,13.75,5.0,21.108844907605278,45,25.75,1.5,49.52019789944301,0,100,1
56,0,89,0,82,4,0,54,24,16,3,22,18,18,22.25,44.5,89,15.0,18.0,10.392304845413264,24,27.75,13.0,37.20551034457127,3,82,1
57,0,63,0,69,9,0,65,28,6,0,46,22,37,15.75,31.5,63,21.75,25.0,15.75595125658873,37,31.0,27.5,32.218007387174026,0,69,1
58,0,55,0,73,4,0,66,29,0,0,75,54,53,14.25,27.183021661814323,55,34.0,41.0,25.442746183015174,54,38.0,38.5,41.609293833629685,0,75,1
59,0,56,0,87,1,37,76,29,0,0,97,55,47,15.0,27.39829678404602,56,42.0,42.0,11.372481406154654,55,46.25,44.0,52.98663353463148,0,97,1
60,0,54,0,106,0,0,53,33,0,0,129,30,39,13.5,27.0,54,25.5,31.5,17.406895185529212,39,58.75,53.0,68.48539990392113,0,129,1
61,0,54,0,131,0,2,69,34,1,3,153,38,35,13.5,27.0,54,27.25,34.5,16.91892431568863,38,71.75,67.0,81.62260716247674,0,153,1
62,0,45,0,147,5,0,69,34,27,10,169,49,31,11.25,22.5,45,28.5,32.5,20.566963801203133,49,82.75,78.5,87.37801020088902,5,169,1
63,0,66,0,169,28,0,66,33,45,18,181,47,15,16.5,33.0,66,23.75,24.0,20.54872258803452,47,99.0,98.5,87.98863562983574,18,181,1
64,0,71,0,190,49,1,72,17,47,28,179,16,6,17.75,35.5,71,10.0,11.0,7.788880963698615,17,111.5,114.0,84.84692098125895,28,190,1
65,0,53,0,210,61,0,58,3,45,40,176,4,7,13.25,26.5,53,3.5,3.5,2.8867513459481287,7,121.75,118.5,83.87441008237653,40,210,1
66,0,31,0,225,61,17,53,0,37,55,172,11,10,7.75,15.5,31,9.5,10.5,7.047458170621991,17,128.25,116.5,83.98958268737856,55,225,1
67,0,0,0,219,54,17,32,12,27,71,171,40,6,0.0,0.0,0,18.75,14.5,14.863265679744362,40,128.75,121.0,79.27326157034287,54,219,1
68,0,0,0,197,53,0,40,14,24,88,178,48,16,0.0,0.0,0,19.5,15.0,20.2895703913776,48,129.0,133.0,69.47901361802234,53,197,0
69,0,0,0,193,68,2,30,0,13,98,180,24,5,0.0,0.0,0,7.75,3.5,11.026483271348727,24,134.75,139.0,61.22839755102747,68,193,0
70,0,0,0,196,88,0,37,0,40,101,182,0,16,0.0,0.0,0,4.0,0.0,8.0,16,141.75,141.5,55.114275222789,88,196,0
71,0,0,0,225,100,0,33,0,57,91,188,11,48,0.0,0.0,0,14.75,5.5,22.76510487566442,48,151.0,144.0,65.9444210427741,91,225,0
72,0,0,0,214,97,12,41,0,56,83,183,48,8,0.0,0.0,0,17.0,10.0,21.2602916254693,48,144.25,140.0,64.1632033697404,83,214,0
73,0,0,0,201,87,24,62,0,56,81,195,51,0,0.25,0.5,1,18.75,12.0,24.295061226512683,51,141.0,141.0,65.90902821313632,81,201,0
74,0,0,0,207,76,46,82,0,47,84,181,32,3,0.0,0.0,0,20.25,17.5,22.425803590209796,46,137.0,132.5,66.74828337368186,76,207,0
75,0,0,0,207,72,48,70,0,28,89,165,15,19,0.0,0.0,0,20.5,17.0,20.074859899884732,48,133.25,127.0,63.657285521768834,72,207,0
76,0,0,0,179,71,60,47,0,18,80,143,0,16,0.75,1.5,3,19.0,8.0,28.35489375751565,60,118.25,111.5,51.63574343417552,71,179,0
77,39,0,0,153,73,134,36,0,10,76,127,16,26,0.0,0.0,0,44.0,21.0,60.94806532341011,134,107.25,101.5,39.29694644625712,73,153,0
78,0,0,0,188,60,209,29,0,10,64,110,7,29,0.0,0.0,0,61.25,18.0,99.27193292500488,209,105.5,87.0,59.49509783727283,60,188,0
79,0,8,0,237,37,254,38,0,2,50,96,5,10,2.0,4.0,8,67.25,7.5,124.56691642112149,254,105.0,73.0,91.5678254992804,37,237,0
80,0,16,0,237,22,255,16,0,0,40,82,0,0,4.0,8.0,16,63.75,0.0,127.5,255,95.25,61.0,97.78675779470348,22,237,0
81,0,11,0,223,13,255,16,0,0,44,68,0,0,2.75,5.5,11,63.75,0.0,127.5,255,87.0,56.0,93.42019767337968,13,223,0
82,0,0,0,187,12,255,23,0,5,55,55,3,0,0.0,0.0,0,64.5,1.5,127.00787377166819,255,77.25,55.0,75.92265801458745,12,187,0
83,0,3,0,179,19,255,17,0,38,70,48,0,0,0.75,1.5,3,63.75,0.0,127.5,255,79.0,59.0,69.86176827612272,19,179,0
84,0,0,0,195,44,255,14,0,51,85,52,0,0,0.0,0.0,0,63.75,0.0,127.5,255,94.0,68.5,69.63236795245919,44,195,0
85,0,0,0,218,76,255,5,0,56,99,62,12,6,0.0,0.0,0,68.25,9.0,124.59634826109472,255,113.75,87.5,71.1541753284139,62,218,0
86,10,0,0,255,100,255,6,0,58,107,76,40,15,0.0,0.0,0,77.5,27.5,119.4780314534852,255,134.5,103.5,81.42276503943272,76,255,0
87,0,0,0,255,121,255,9,0,39,104,86,0,0,0.0,0.0,0,63.75,0.0,127.5,255,141.5,112.5,77.00432888264572,86,255,0
88,0,3,0,250,127,255,44,13,0,86,94,0,0,0.75,1.5,3,67.0,6.5,125.4830665866913,255,139.25,110.5,75.93582817089704,86,250,0
89,0,14,0,192,122,255,55,0,0,67,102,1,0,3.5,7.0,14,64.0,0.5,127.33420593069248,255,120.75,112.0,52.658490926598596,67,192,0
90,0,0,0,122,109,255,35,0,0,60,105,7,0,0.0,0.0,0,65.5,3.5,126.37642185154634,255,99.0,107.0,26.993826454703797,60,122,0
91,0,0,0,89,93,255,9,0,8,54,105,10,0,0.0,0.0,0,66.25,5.0,125.92160259463029,255,85.25,91.0,21.914607000811127,54,105,0
92,0,0,0,66,81,255,10,0,15,47,101,11,0,0.0,0.0,0,66.5,5.5,125.77360613419654,255,73.75,73.5,22.881943390659224,47,101,0
93,0,0,0,39,91,255,27,0,15,46,101,1,0,0.0,0.0,0,64.0,0.5,127.33420593069248,255,69.25,68.5,31.28764399354267,39,101,0
94,0,0,0,37,125,255,8,0,30,53,114,0,0,0.0,0.0,0,63.75,0.0,127.5,255,82.25,83.5,43.73690280148637,37,125,0
95,0,0,0,40,151,255,21,0,40,59,130,0,0,0.0,0.0,0,63.75,0.0,127.5,255,95.0,94.5,53.79591062525106,40,151,0
96,0,0,0,43,155,255,31,0,44,66,158,1,0,0.0,0.0,0,64.0,0.5,127.33420593069248,255,105.5,110.5,59.64617897792504,43,158,0
97,0,0,0,45,138,255,25,0,31,69,189,22,0,0.0,0.0,0,69.25,11.0,124.26684996409944,255,110.25,103.5,65.65249424050849,45,189,0
98,0,0,0,47,109,255,34,0,11,65,209,12,18,0.0,0.0,0,71.25,15.0,122.72835858105493,255,107.5,87.0,72.50517222929686,47,209,0
99,0,0,0,66,78,255,28,0,17,61,220,28,34,0.0,0.0,0,79.25,31.0,118.09988710127259,255,106.25,72.0,76.16812544190209,61,220,0
100,0,0,0,101,62,253,93,0,3,55,216,3,32,11.5,23.0,46,72.0,17.5,121.526403166829,253,108.5,81.5,74.4692330205345,55,216,0
101,0,0,0,149,97,230,64,0,27,55,206,12,30,0.0,0.0,0,68.0,21.0,108.70142593360954,230,126.75,123.0,65.34204873841448,55,206,0
102,0,0,0,181,127,239,39,0,54,63,203,39,24,0.0,0.0,0,75.5,31.5,110.17713011328621,239,143.5,154.0,62.44731112439243,63,203,0
103,8,0,0,183,140,250,11,0,73,65,179,48,30,0.0,0.0,0,82.0,39.0,113.73653766490345,250,141.75,159.5,54.71974049646069,65,183,0
104,10,0,0,144,104,255,4,0,78,60,151,30,15,0.0,0.0,0,75.0,22.5,120.62338081814819,255,114.75,124.0,41.96327759680679,60,151,0
