0,echo1,echo2,echo3,echo4,shadow5,shadow6,echo7,echo8,echo-contact9,echo-contact10,echo-contact11,echo-contact12,shadow13,shadow14,echo-contact15,echo-contact16
639,0,0,0,0,48,217,0,0,30,0,0,45,8,141,12,43
640,0,0,0,0,63,183,0,0,22,32,0,39,2,146,8,44
641,0,0,0,0,78,117,0,0,33,0,0,40,1,151,0,27
642,0,0,0,0,95,84,0,0,44,18,0,36,10,148,20,21
643,0,0,13,0,97,88,0,0,69,7,0,29,12,147,20,25
644,0,0,34,0,76,147,0,0,103,18,0,21,14,154,15,5
645,0,0,13,0,42,226,0,0,66,29,0,8,14,168,0,6
646,0,0,17,0,21,255,0,0,76,38,0,0,12,190,0,8
647,0,0,37,0,22,228,0,0,107,10,0,8,10,196,0,8
648,0,0,19,0,43,196,0,0,75,30,0,37,10,183,0,5
649,0,0,0,0,73,202,0,0,38,12,0,33,9,169,0,18
650,0,0,0,0,93,236,0,0,41,20,0,35,8,142,0,6
651,0,0,0,0,99,247,0,0,3,34,0,33,22,122,16,10
652,0,0,0,0,79,241,0,0,13,28,0,31,36,100,14,6
653,0,0,2,0,29,220,0,0,50,29,0,27,50,70,10,8
654,0,0,15,0,0,172,0,0,71,40,0,31,44,46,0,16
655,0,0,32,0,64,113,0,0,97,71,0,39,24,31,0,23
656,0,0,5,0,146,80,0,0,52,40,0,47,0,31,0,13
657,0,1,0,0,176,81,0,0,19,30,0,58,0,33,0,0
658,0,8,0,0,224,70,0,0,24,20,0,70,0,46,0,0
659,0,6,5,0,221,76,0,0,55,33,0,67,0,77,0,0
660,0,8,22,0,206,91,0,0,82,61,0,71,0,104,0,0
661,0,3,22,0,194,118,0,0,82,55,0,59,0,118,8,0
662,0,0,10,0,164,160,0,0,62,47,0,36,8,154,0,3
663,0,0,19,0,177,206,0,0,77,44,0,70,26,171,0,23
664,0,0,17,0,221,209,0,0,73,7,0,30,37,187,0,25
665,0,0,3,0,254,178,0,0,51,0,0,15,42,206,0,31
666,0,0,0,0,255,143,0,0,56,0,0,14,41,210,0,29
667,0,0,0,0,216,128,0,0,43,2,0,8,30,210,0,32
668,0,0,15,0,164,140,0,0,75,20,0,0,16,199,0,31
